university,city,state,city_population_density,city_population
Yeshiva University,New York,NY,28211,8537673
University of Hartford,West Hartford,CT,2900,63023
Lehigh University,Bethlehem,PA,3942,75293
University of the Pacific,Stockton,CA,4979,307072
Seattle University,Seattle,WA,8391,704352
Brandeis University,Waltham,MA,4949,63002
Rensselaer Polytechnic Institute,Troy,NY,4987,50394
University of San Diego,San Diego,CA,4326,1406630
University of San Francisco,San Francisco,CA,18581,870887
Dartmouth College,Hanover,NH,242,8744
Marquette University,Milwaukee,WI,6191,595047
California Institute of Technology,Pasadena,CA,6185,142059
Southern Methodist University,Dallas,TX,3870,1317929
Rice University,Houston,TX,3842,2303482
Princeton University,Princeton,NJ,1710,30872
Rochester Institute of Technology,Rochester,NY,5838,208880
Baylor University,Waco,TX,1511,134432
Brown University,Providence,RI,9740,179219
Tufts University,Medford,MA,7063,57213
Brigham Young University--Provo,Provo,UT,2805,116868
Carnegie Mellon University,Pittsburgh,PA,5484,303625
University of Notre Dame,Notre Dame,IN,6333,6699
Case Western Reserve University,Cleveland,OH,4965,385809
University of Rochester,Rochester,NY,5838,208880
Georgetown University,Washington,DC,11158,681170
University of Miami,Coral Gables,FL,3933,50815
Boston University,Boston,MA,13943,673184
University of Chicago,Chicago,IL,11883,2704958
Emory University,Atlanta,GA,3549,472522
Cornell University,Ithaca,NY,5958,31710
Massachusetts Institute of Technology,Cambridge,MA,17316,110651
University of Southern California,Los Angeles,CA,8484,3976322
Northwestern University,Evanston,IL,9627,74895
Vanderbilt University,Nashville,TN,1390,660388
Harvard University,Cambridge,MA,17316,110651
Stanford University,Stanford,CA,7600,16200
Johns Hopkins University,Baltimore,MD,7594,614664
University of Pennsylvania,Philadelphia,PA,11692,1567872
Yale University,New Haven,CT,6956,129934
Duke University,Durham,NC,2450,263016
New York University,New York,NY,28211,8537673
Abilene Christian University,Abilene,TX,1145,122225
Alvernia University,Reading,PA,8864,87575
American Film Institute Conservatory,Los Angeles,CA,8484,3976322
Amherst College,Amherst,MA,1422,37819
Andrews University,Berrien Springs,MI,2081,1816
Aquinas College,Grand Rapids,MI,4424,196445
Augustana College,Rock Island,IL,2177,36636
Babson College,Wellesley,MA,2980,28747
Bard College,Annandale on Hudson,NY,1010,1485
Barnard College,New York,NY,28211,8537673
Bates College,Lewiston,ME,1087,36617
Baylor College of Medicine,Houston,TX,3842,2303482
Beloit College,Beloit,WI,2115,36609
Bennington College,Bennington,VT,360,15333
Bentley University,Waltham,MA,4949,63002
Berea College,Berea,KY,965,15924
Berklee College of Music,Boston,MA,13943,673184
Bethany Lutheran College,Mankato,MN,2386,44693
Biola University,La Mirada,CA,6124,46658
Boston Architectural College,Boston,MA,13943,673184
Bowdoin College,Brunswick,ME,1198,20329
Briar Cliff University,Sioux City,IA,1445,82872
Bryn Mawr College,Bryn Mawr,PA,6143,5611
Bucknell University,Lewisburg,PA,18927,815201
California College of the Arts,San Francisco,CA,18581,870887
California Institute of the Arts,Valencia,CA,2107,63070
Cardinal Stritch University,Milwaukee,WI,6191,595047
Carleton College,Northfield,MN,2465,20729
Carson-Newman University,Jefferson City,TN,1286,8262
Claremont McKenna College,Claremont,CA,2826,35703
Clarke University,Dubuque,IA,1953,58531
Colby College,Waterville,ME,1171,15959
Colgate University,Hamilton,NY,1647,3736
Colorado College,Colorado Springs,CO,2391,465101
Concordia College at Moorhead,Moorhead,MN,2057,44668
Connecticut College,New London,CT,4868,27635
Dallas Baptist University,Dallas,TX,3870,1317929
Davidson College,Davidson,NC,2671,15132
Denison University,Granville,OH,1236,5709
