SCHOOL,LOCATION,INTERNATIONAL,Type
Berea College,"Berea, KY",8%,Liberal Arts
Davidson College,"Davidson, NC",8%,Liberal Arts
Gordon College,"Wenham, MA",8%,Liberal Arts
Lafayette College,"Easton, PA",8%,Liberal Arts
Lyon College,"Batesville, AR",8%,Liberal Arts
Vassar College,"Poughkeepsie, NY",8%,Liberal Arts
Williams College,"Williamstown, MA",8%,Liberal Arts
Bowdoin College,"Brunswick, ME",7%,Liberal Arts
Colorado College,"Colorado Springs, CO",7%,Liberal Arts
Hamilton College,"Clinton, NY",7%,Liberal Arts
Juniata College,"Huntingdon, PA",7%,Liberal Arts
Ohio Wesleyan University,"Delaware, OH",7%,Liberal Arts
Pitzer College,"Claremont, CA",7%,Liberal Arts
Sarah Lawrence College,"Bronxville, NY",7%,Liberal Arts
Whittier College,"Whittier, CA",7%,Liberal Arts
Concordia College at Moorhead,"Moorhead, MN",6%,Liberal Arts
Hampshire College,"Amherst, MA",6%,Liberal Arts
Hobart and William Smith Colleges,"Geneva, NY",6%,Liberal Arts
The King's College,"New York, NY",6%,Liberal Arts
Occidental College,"Los Angeles, CA",6%,Liberal Arts
Rhodes College,"Memphis, TN",6%,Liberal Arts
Sweet Briar College,"Sweet Briar, VA",6%,Liberal Arts
University of Maine--Machias,"Machias, ME",6%,Liberal Arts
Wartburg College,"Waverly, IA",6%,Liberal Arts
Aquinas College,"Grand Rapids, MI",5%,Liberal Arts
Bucknell University,"Lewisburg, PA",5%,Liberal Arts
Gettysburg College,"Gettysburg, PA",5%,Liberal Arts
"Holy Cross College at Notre Dame, Indiana","Notre Dame, IN",5%,Liberal Arts
Maryville College,"Maryville, TN",5%,Liberal Arts
Randolph College,"Lynchburg, VA",5%,Liberal Arts
Thomas Aquinas College,"Santa Paula, CA",5%,Liberal Arts
Washington and Lee University,"Lexington, VA",5%,Liberal Arts
Wheaton College (MA),"Norton, MA",5%,Liberal Arts
