name,city,state,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
CUNY Queens College,Queens,NY,18,15,1,3,11
CUNY Queensborough Community College,Bayside,NY,1,4,1,1,11
CUNY School of Law,Long Island City,NY,31,18,1,7,11
CUNY Stella and Charles Guttman Community College,New York,NY,1,2,1,1,11
CUNY York College,Jamaica,NY,20,12,1,3,11
Curry College,Milton,MA,20,11,2,3,21
Curtis Institute of Music,Philadelphia,PA,30,8,2,4,11
Cuyahoga Community College District,Cleveland,OH,6,4,1,1,11
Cuyamaca College,El Cajon,CA,2,3,1,1,21
Cypress College,Cypress,CA,14,12,1,2,21
Daemen University,Amherst,NY,17,10,2,5,21
Dakota College at Bottineau,Bottineau,ND,9,2,1,1,43
Dakota County Technical College,Rosemount,MN,7,2,1,1,41
Dakota State University,Madison,SD,19,10,1,4,32
Dakota Wesleyan University,Mitchell,SD,22,8,2,4,33
Dallas Baptist University,Dallas,TX,17,14,2,5,11
Dallas Christian College,Dallas,TX,22,8,2,2,21
Dallas College,Dallas,TX,6,5,1,1,11
Dallas Institute of Funeral Service,Dallas,TX,12,1,2,1,11
Dallas Theological Seminary,Dallas,TX,24,18,2,7,11
Dalton State College,Dalton,GA,22,12,1,2,13
Danville Area Community College,Danville,IL,6,2,1,1,13
Danville Community College,Danville,VA,6,2,1,1,32
Daoist Traditions College of Chinese Medical Arts,Asheville,NC,26,18,3,7,13
Dartmouth College,Hanover,NH,15,14,2,5,33
Davenport University,Grand Rapids,MI,18,12,2,4,21
Davidon-Davie Community College,Thomasville,NC,5,3,1,1,41
Davidson College,Davidson,NC,21,11,2,2,21
Davis & Elkins College,Elkins,WV,22,8,2,2,33
Davis College,Johnson City,NY,24,7,2,2,22
Davis College,Toledo,OH,9,1,3,1,11
Dawson Community College,Glendive,MT,3,1,1,1,33
Daytona College,Ormond Beach,FL,10,1,3,1,13
Daytona State College,Daytona Beach,FL,23,12,1,2,13
De Anza College,Cupertino,CA,5,5,1,1,13
Dean College,Franklin,MA,22,11,2,2,21
Defense Language Institute Foreign Language Center,Monterey,CA,13,3,1,1,13
Defiance College,Defiance,OH,22,8,2,3,32
Del Mar College,Corpus Christi,TX,7,3,1,1,11
Delaware College of Art and Design,Wilmington,DE,12,1,2,1,13
Delaware County Community College,Media,PA,4,3,1,1,21
Delaware State University,Dover,DE,19,14,1,4,13
Delaware Technical Community College-Terry,Dover,DE,14,12,1,2,13
Delaware Valley University,Doylestown,PA,20,11,2,4,21
Delgado Community College,New Orleans,LA,4,4,1,1,11
Dell'Arte International School of Physical Theatre,Blue Lake,CA,30,18,2,7,41
Delta College,University Center,MI,1,3,1,1,41
Delta College of Arts & Technology,Baton Rouge,LA,12,1,3,1,12
Delta State University,Cleveland,MS,18,11,1,4,33
Denison University,Granville,OH,21,11,2,2,23
Denmark Technical College,Denmark,SC,9,1,1,1,41
Denver College of Nursing,Denver,CO,26,9,3,3,11
Denver Seminary,Littleton,CO,19,18,2,7,21
DePaul University,Chicago,IL,16,15,2,5,11
DePauw University,Greencastle,IN,21,11,2,2,32
Des Moines Area Community College,Ankeny,IA,6,5,1,1,21
Des Moines University-Osteopathic Medical Center,Des Moines,IA,25,18,2,7,12
DeSales University,Center Valley,PA,17,10,2,4,41
Design Institute of San Diego,San Diego,CA,30,6,3,3,11
DeVry College of New York,New York,NY,29,6,3,4,11
DeVry University-Arizona,Phoenix,AZ,22,6,3,4,11
DeVry University-California,Ontario,CA,19,9,3,4,12
DeVry University-Colorado,Westminster,CO,32,6,3,3,21
DeVry University-Florida,Miramar,FL,29,6,3,3,21
DeVry University-Georgia,Decatur,GA,29,6,3,3,21
DeVry University-Illinois,Chicago,IL,18,15,3,4,11
DeVry University-Missouri,Kansas City,MO,32,6,3,3,11
DeVry University-Nevada,Henderson,NV,29,6,3,3,11
DeVry University-New Jersey,Iselin,NJ,22,6,3,3,21
DeVry University-North Carolina,Charlotte,NC,29,6,3,5,11
DeVry University-Ohio,Columbus,OH,22,6,3,3,11
DeVry University-Pennsylvania,Ft. Washington,PA,22,6,3,3,21
DeVry University-Tennessee,Nashville,TN,29,6,3,4,11
DeVry University-Texas,Irving,TX,29,6,3,4,12
DeVry University-Virginia,Arlington,VA,29,6,3,5,12
Dewey University-Carolina,Carolina,PR,23,6,2,2,21
Dewey University-Hato Rey,Hato Rey,PR,26,6,2,5,11
Dewey University-Juana Díaz,Juana Diaz,PR,26,6,2,3,23
Dewey University-Manati,Manati,PR,26,6,2,2,21
Diablo Valley College,Pleasant Hill,CA,1,5,1,1,21
Dickinson College,Carlisle,PA,21,11,2,2,13
Dickinson State University,Dickinson,ND,22,9,1,3,33
DigiPen Institute of Technology,Redmond,WA,22,9,3,3,13
Dillard University,New Orleans,LA,21,11,2,2,11
Dine College,Tsaile,AZ,33,6,1,2,43
Divine Mercy University,Sterling,VA,26,18,2,7,21
Divine Word College,Epworth,IA,21,8,2,2,42
Doane University,Crete,NE,18,11,2,5,32
Dodge City Community College,Dodge City,KS,5,2,1,1,33
Dominican School of Philosophy & Theology,Berkeley,CA,20,18,2,7,12
Dominican University,River Forest,IL,18,9,2,4,21
Dominican University of California,San Rafael,CA,19,10,2,4,13
Dominican University-New York,Orangeburg,NY,17,10,2,4,21
Dongguk University Los Angeles,Los Angeles,CA,26,18,2,6,11
Donnelly College,Kansas City,KS,23,6,2,2,12
Dordt University,Sioux Center,IA,20,11,2,3,33
Douglas Education Center,Monessen,PA,12,1,3,1,23
Dragon Rises College of Oriental Medicine,Gainesville,FL,26,18,2,7,12
Drake University,Des Moines,IA,17,14,2,5,12
Drew University,Madison,NJ,21,11,2,4,21
Drexel University,Philadelphia,PA,15,16,2,5,11
Drury University,Springfield,MO,20,11,2,3,12
Drury University-College of Continuing Professional Studies,Springfield,MO,22,6,2,2,12
Duke University,Durham,NC,15,17,2,6,11
Dunwoody College of Technology,Minneapolis,MN,23,9,2,2,11
Duquesne University,Pittsburgh,PA,16,14,2,5,11
Durham Technical Community College,Durham,NC,6,3,1,1,11
Dutchess Community College,Poughkeepsie,NY,2,3,1,1,21
Dyersburg State Community College,Dyersburg,TN,1,2,1,1,32
D'Youville University,Buffalo,NY,17,10,2,5,11
Eagle Gate College-Layton,Layton,UT,26,6,3,2,21
Eagle Gate College-Murray,Murray,UT,26,6,3,3,21
Earlham College,Richmond,IN,21,8,2,3,32
East Arkansas Community College,Forrest City,AR,5,2,1,1,32
East Carolina University,Greenville,NC,16,16,1,4,13
East Central College,Union,MO,5,2,1,1,41
East Central Community College,Decatur,MS,4,2,1,1,42
East Central University,Ada,OK,18,10,1,4,33
East Georgia State College,Swainsboro,GA,14,9,1,2,33
East Los Angeles College,Monterey Park,CA,2,5,1,1,21
East Mississippi Community College,Scooba,MS,7,3,1,1,43
East Ohio College,East Liverpool,OH,10,1,3,1,31
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,18,14,1,3,13
East Tennessee State University,Johnson City,TN,16,16,1,4,13
East Texas Baptist University,Marshall,TX,20,11,2,3,32
East West College of Natural Medicine,Sarasota,FL,26,18,3,7,13
Eastern Arizona College,Thatcher,AZ,6,3,1,1,33
Eastern Connecticut State University,Willimantic,CT,20,14,1,3,31
Eastern Florida State College,Cocoa,FL,23,12,1,2,21
Eastern Gateway Community College,Steubenville,OH,2,5,1,1,13
Eastern Illinois University,Charleston,IL,18,14,1,4,32
Eastern International College-Belleville,Belleville,NJ,26,6,3,2,21
Eastern International College-Jersey City,Jersey City,NJ,26,6,3,2,11
Eastern Iowa Community College District,Davenport,IA,6,3,1,1,12
Eastern Kentucky University,Richmond,KY,17,16,1,4,32
Eastern Maine Community College,Bangor,ME,8,2,1,1,13
Eastern Mennonite University,Harrisonburg,VA,19,11,2,4,13
Eastern Michigan University,Ypsilanti,MI,16,16,1,4,21
Eastern Nazarene College,Quincy,MA,20,8,2,4,21
Eastern New Mexico University Ruidoso Branch Community College,Ruidoso,NM,3,1,1,1,33
Eastern New Mexico University-Main Campus,Portales,NM,18,13,1,4,33
Eastern New Mexico University-Roswell Campus,Roswell,NM,8,2,1,1,33
Eastern Oklahoma State College,Wilburton,OK,1,2,1,1,33
Eastern Oregon University,La Grande,OR,20,9,1,3,33
Eastern School of Acupuncture and Traditional Medicine,Bloomfield,NJ,26,18,3,6,21
Eastern Shore Community College,Melfa,VA,6,1,1,1,43
Eastern University,Saint Davids,PA,18,10,2,5,21
Eastern Virginia Career College,Fredericksburg,VA,10,1,3,1,22
Eastern Virginia Medical School,Norfolk,VA,27,18,1,7,12
Eastern Washington University,Cheney,WA,18,13,1,4,31
Eastern West Virginia Community and Technical College,Moorefield,WV,5,1,1,1,41
Eastern Wyoming College,Torrington,WY,9,2,1,1,33
East-West University,Chicago,IL,21,6,2,2,11
Eastwick College-Hackensack,Hackensack,NJ,8,1,3,1,21
Eastwick College-Nutley,Nutley,NJ,10,1,3,1,21
Eastwick College-Ramsey,Ramsey,NJ,26,6,3,2,21
Ecclesia College,Springdale,AR,22,8,2,3,41
Eckerd College,Saint Petersburg,FL,21,11,2,2,11
ECPI University,Virginia Beach,VA,19,15,3,3,11
Ecumenical Theological Seminary,Detroit,MI,24,18,2,6,11
Eden Theological Seminary,Webster Groves,MO,24,18,2,7,21
Edgecombe Community College,Tarboro,NC,8,2,1,1,41
Edgewood College,Madison,WI,17,10,2,4,11
Edinboro University of Pennsylvania,Edinboro,PA,18,13,1,4,31
Edison State Community College,Piqua,OH,6,3,1,1,41
Edmonds College,Lynnwood,WA,14,9,1,2,21
EDP University of Puerto Rico Inc-San Juan,San Juan,PR,23,6,2,3,11
EDP University of Puerto Rico Inc-San Sebastian,San Sebastian,PR,26,6,2,3,21
EDP University of Puerto Rico-Humacao,Humacao,PR,13,1,2,1,21
EDP University of Puerto Rico-Manati,Manati,PR,26,6,2,2,21
EDP University of Puerto Rico-Villalba,Villalba,PR,13,1,2,1,23
Educational Technical College-Recinto de Bayamon,BAYAMON,PR,10,1,3,1,12
Edward Via College of Osteopathic Medicine,Blacksburg,VA,25,18,2,7,13
Edward Waters College,Jacksonville,FL,22,8,2,2,11
El Camino Community College District,Torrance,CA,1,5,1,1,21
El Paso Community College,El Paso,TX,1,5,1,1,11
Elgin Community College,Elgin,IL,2,3,1,1,12
Elim Bible Institute and College,Lima,NY,13,1,2,1,31
Elizabeth City State University,Elizabeth City,NC,22,11,1,3,32
Elizabethtown College,Elizabethtown,PA,20,11,2,3,21
Elizabethtown Community and Technical College,Elizabethtown,KY,6,3,1,1,13
Ellsworth Community College,Iowa Falls,IA,4,2,1,1,32
Elmezzi Graduate School of Molecular Medicine,Manhasset,NY,26,18,2,7,21
Elmhurst University,Elmhurst,IL,18,13,2,4,21
Elmira Business Institute,Vestal,NY,9,1,3,1,22
Elmira College,Elmira,NY,22,8,2,3,13
Elon University,Elon,NC,17,14,2,4,22
Elyon College,Brooklyn,NY,13,1,2,1,11
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,18,13,2,3,13
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,22,10,2,3,41
Embry-Riddle Aeronautical University-Worldwide,Daytona Beach,FL,18,12,2,5,13
Emerson College,Boston,MA,18,14,2,4,11
Emmanuel College,Franklin Springs,GA,22,8,2,2,32
Emmanuel College,Boston,MA,21,11,2,3,11
Emmaus Bible College,Dubuque,IA,22,8,2,2,13
Emory & Henry College,Emory,VA,19,11,2,4,41
Emory University,Atlanta,GA,15,17,2,5,11
Emory University-Oxford College,Oxford,GA,1,2,2,1,21
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,26,18,3,7,13
Empire College,Santa Rosa,CA,23,9,3,5,12
Emporia State University,Emporia,KS,18,13,1,5,33
Endicott College,Beverly,MA,18,14,2,4,21
Ensign College,Salt Lake City,UT,1,2,2,1,12
Enterprise State Community College,Enterprise,AL,2,2,1,1,32
Episcopal Theological Seminary of the Southwest,Austin,TX,24,18,2,7,11
Erie Community College,Buffalo,NY,5,4,1,1,11
Erie Institute of Technology Inc,Erie,PA,11,1,3,1,22
Erikson Institute,Chicago,IL,19,18,2,7,11
Erskine College,Due West,SC,17,8,2,3,42
Escuela de Artes Plasticas y Diseno de Puerto Rico,San Juan,PR,30,6,1,2,11
Essex County College,Newark,NJ,4,3,1,1,11
Estrella Mountain Community College,Avondale,AZ,2,3,1,1,22
ETI Technical College,Niles,OH,7,1,3,1,21
Eureka College,Eureka,IL,22,8,2,2,31
Evangel University,Springfield,MO,19,11,2,4,12
Evangelical Theological Seminary,Myerstown,PA,20,18,2,7,23
Everett Community College,Everett,WA,3,4,1,1,12
Everglades University,Boca Raton,FL,20,9,2,4,13
Evergreen Valley College,San Jose,CA,2,3,1,1,11
Excelsior University,Albany,NY,18,12,2,4,13
Fairfax University of America,Fairfax,VA,22,6,2,6,21
Fairfield University,Fairfield,CT,17,14,2,4,21
Fairleigh Dickinson University-Florham Campus,Madison,NJ,18,14,2,4,21
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,18,13,2,5,21
Fairmont State University,Fairmont,WV,20,13,1,3,32
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,22,8,2,4,21
Faith International University,Tacoma,WA,20,6,2,6,12
Family of Faith Christian University,Shawnee,OK,24,6,2,6,42
Farmingdale State College,Farmingdale,NY,22,12,1,3,21
Fashion Institute of Technology,New York,NY,20,12,1,3,11
Faulkner University,Montgomery,AL,18,10,2,5,12
Fayetteville State University,Fayetteville,NC,19,13,1,4,12
Fayetteville Technical Community College,Fayetteville,NC,5,4,1,1,12
Feather River Community College District,Quincy,CA,14,6,1,2,41
Felbry College School of Nursing,Columbus,OH,10,1,3,1,11
Felician University,Lodi,NJ,19,10,2,4,21
Ferris State University,Big Rapids,MI,17,13,1,4,32
Ferrum College,Ferrum,VA,22,8,2,3,42
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,23,9,3,3,11
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,23,6,3,2,11
Fielding Graduate University,Santa Barbara,CA,17,18,2,7,13
FINE Mortuary College,Norwood,MA,12,1,3,1,21
Finger Lakes Community College,Canandaigua,NY,3,3,1,1,41
Finger Lakes Health College of Nursing & Health Sciences,Geneva,NY,10,1,2,1,32
Finlandia University,Hancock,MI,22,7,2,2,33
Fisher College,Boston,MA,22,7,2,3,11
Fisk University,Nashville,TN,21,8,2,3,11
Fitchburg State University,Fitchburg,MA,18,13,1,5,22
Five Branches University,Santa Cruz,CA,26,18,3,7,22
Five Towns College,Dix Hills,NY,30,7,3,3,21
Flagler College,Saint Augustine,FL,22,10,2,3,23
Flathead Valley Community College,Kalispell,MT,6,2,1,1,41
Fletcher Technical Community College,Schriever,LA,4,2,1,1,41
Flint Hills Technical College,Emporia,KS,9,2,1,1,33
Florence-Darlington Technical College,Florence,SC,7,2,1,1,23
Florida Agricultural and Mechanical University,Tallahassee,FL,16,13,1,4,12
Florida Atlantic University,Boca Raton,FL,16,15,1,4,13
Florida Career College-Boynton Beach,Boynton Beach,FL,10,2,3,1,13
Florida Career College-Hialeah,Hialeah,FL,10,2,3,1,21
Florida Career College-Houston,Houston,TX,10,2,3,1,11
Florida Career College-Lauderdale Lakes,Lauderdale Lakes,FL,10,2,3,1,21
Florida Career College-Miami,Miami,FL,11,2,3,1,21
Florida Career College-Pembroke Pines,Pembroke Pines,FL,10,2,3,1,21
Florida College,Temple Terrace,FL,23,8,2,2,21
Florida College of Integrative Medicine,Orlando,FL,26,18,3,7,21
Florida Gateway College,Lake City,FL,23,9,1,2,32
Florida Gulf Coast University,Fort Myers,FL,17,16,1,3,21
Florida Institute of Technology,Melbourne,FL,16,14,2,5,13
Florida Institute of Technology-Online,Melbourne,FL,18,9,2,4,13
Florida International University,Miami,FL,15,15,1,4,21
Florida Memorial University,Miami Gardens,FL,22,8,2,3,21
Florida National University-Main Campus,Hialeah,FL,19,9,3,3,21
Florida Polytechnic University,Lakeland,FL,22,11,1,3,41
Florida Southern College,Lakeland,FL,19,14,2,4,12
Florida SouthWestern State College,Fort Myers,FL,23,12,1,2,21
Florida State College at Jacksonville,Jacksonville,FL,23,15,1,2,11
Florida State University,Tallahassee,FL,15,15,1,4,12
Folsom Lake College,Folsom,CA,2,3,1,1,13
Fond du Lac Tribal and Community College,Cloquet,MN,33,9,1,1,31
Fontbonne University,Saint Louis,MO,19,7,2,4,21
Foothill College,Los Altos Hills,CA,14,12,1,2,21
Fordham University,Bronx,NY,16,17,2,5,11
Forsyth Technical Community College,Winston-Salem,NC,4,3,1,1,12
Fort Hays State University,Hays,KS,18,12,1,4,33
Fort Lewis College,Durango,CO,22,13,1,3,32
Fort Peck Community College,Poplar,MT,33,9,1,1,33
Fort Scott Community College,Fort Scott,KS,5,2,1,1,33
Fort Valley State University,Fort Valley,GA,20,11,1,3,31
Fortis College,Houston,TX,10,1,3,1,11
Fortis College-Baton Rouge,Baton Rouge,LA,10,1,3,1,21
Fortis College-Centerville,Centerville,OH,10,2,3,1,21
Fortis College-Cincinnati,Cincinnati,OH,10,2,3,1,21
Fortis College-Columbia,Columbia,SC,10,2,3,1,12
Fortis College-Columbus,Westerville,OH,10,2,3,1,21
Fortis College-Cutler Bay,Cutler Bay,FL,10,1,3,1,21
Fortis College-Cuyahoga Falls,Cuyahoga Falls,OH,10,2,3,1,21
Fortis College-Indianapolis,Indianapolis,IN,10,1,3,1,11
Fortis College-Landover,Landover,MD,10,2,3,1,21
Fortis College-Norfolk,Norfolk,VA,10,1,3,1,12
Fortis College-Orange Park,Orange Park,FL,10,1,3,1,21
Fortis College-Richmond,Richmond,VA,10,2,3,1,21
Fortis College-Salt Lake City,Salt Lake City,UT,10,2,3,1,21
Fortis College-Smyrna,Smyrna,GA,10,2,3,1,21
Fortis Institute,Houston,TX,10,1,3,1,11
Fortis Institute-Birmingham,Birmingham,AL,10,2,3,1,12
Fortis Institute-Cookeville,Cookeville,TN,10,1,3,1,33
Fortis Institute-Forty Fort,Forty Fort,PA,10,1,3,1,21
Fortis Institute-Nashville,Nashville,TN,10,1,3,1,11
Fortis Institute-Pensacola,Pensacola,FL,10,2,3,1,13
Fortis Institute-Port Saint Lucie,Port Saint Lucie,FL,10,1,3,1,12
Fortis Institute-Scranton,Scranton,PA,10,1,3,1,13
Fox College,Bedford Park,IL,8,1,3,1,21
Fox Valley Technical College,Appleton,WI,9,4,1,1,22
Framingham State University,Framingham,MA,18,14,1,4,13
Francis Marion University,Florence,SC,19,14,1,3,23
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,26,6,2,5,12
Franciscan School of Theology,San Diego,CA,24,18,2,7,11
Franciscan University of Steubenville,Steubenville,OH,19,11,2,4,13
Frank Phillips College,Borger,TX,3,2,1,1,32
Franklin and Marshall College,Lancaster,PA,21,11,2,2,13
Franklin College,Franklin,IN,21,8,2,3,21
Franklin Pierce University,Rindge,NH,19,11,2,4,41
Franklin University,Columbus,OH,18,12,2,5,11
Franklin W Olin College of Engineering,Needham,MA,28,8,2,2,21
Frederick Community College,Frederick,MD,8,3,1,1,13
Freed-Hardeman University,Henderson,TN,19,11,2,4,32
Fremont College,Cerritos,CA,23,6,3,3,21
Fresno City College,Fresno,CA,5,5,1,1,11
Fresno Pacific University,Fresno,CA,18,12,2,4,11
Friends University,Wichita,KS,18,10,2,4,11
Front Range Community College,Westminster,CO,6,4,1,1,21
Frontier Community College,Fairfield,IL,3,2,1,1,33
Frontier Nursing University,Versailles,KY,26,18,2,7,41
Frostburg State University,Frostburg,MD,18,13,1,4,23
Full Sail University,Winter Park,FL,18,15,3,3,21
Fuller Theological Seminary,Pasadena,CA,24,18,2,7,12
Fullerton College,Fullerton,CA,1,5,1,1,21
Fulton-Montgomery Community College,Johnstown,NY,1,2,1,1,41
Furman University,Greenville,SC,21,11,2,3,21
Future Generations University,Franklin,WV,32,18,2,7,43
Future-Tech Institute,Miami,FL,10,1,3,1,11
Gadsden State Community College,Gadsden,AL,7,3,1,1,13
Galen College of Nursing-ARH,Hazard,KY,10,1,3,1,33
Galen College of Nursing-Cincinnati,Cincinnati,OH,10,2,3,1,21
Galen College of Nursing-Louisville,Louisville,KY,26,9,3,3,11
Galen College of Nursing-San Antonio,San Antonio,TX,26,9,3,2,11
Galen College of Nursing-Tampa Bay,Saint Petersburg,FL,10,2,3,1,11
Gallaudet University,Washington,DC,17,11,2,5,11
Galveston College,Galveston,TX,8,2,1,1,31
Gannon University,Erie,PA,17,14,2,4,13
Garden City Community College,Garden City,KS,1,2,1,1,33
Gardner-Webb University,Boiling Springs,NC,17,11,2,5,32
Garrett College,McHenry,MD,1,1,1,1,42
Garrett-Evangelical Theological Seminary,Evanston,IL,24,18,2,7,13
Gaston College,Dallas,NC,4,3,1,1,22
Gateway Community and Technical College,Florence,KY,8,3,1,1,21
GateWay Community College,Phoenix,AZ,8,3,1,1,11
Gateway Community College,New Haven,CT,4,3,1,1,12
Gateway Technical College,Kenosha,WI,8,3,1,1,22
Gavilan College,Gilroy,CA,1,3,1,1,23
Geisinger Commonwealth School of Medicine,Scranton,PA,25,18,2,7,13
Gemini School of Visual Arts & Communication,Cedar Park,TX,30,6,3,2,21
Genesee Community College,Batavia,NY,5,3,1,1,32
Geneva College,Beaver Falls,PA,20,11,2,3,21
George C Wallace Community College-Dothan,Dothan,AL,7,3,1,1,13
George C Wallace State Community College-Hanceville,Hanceville,AL,7,3,1,1,32
George C Wallace State Community College-Selma,Selma,AL,5,2,1,1,32
George Fox University,Newberg,OR,17,14,2,5,31
George Mason University,Fairfax,VA,15,15,1,4,21
George Washington University,Washington,DC,15,17,2,5,11
Georgetown College,Georgetown,KY,21,11,2,4,31
Georgetown University,Washington,DC,15,17,2,6,11
Georgia College & State University,Milledgeville,GA,18,13,1,4,32
Georgia Gwinnett College,Lawrenceville,GA,22,12,1,2,21
Georgia Highlands College,Rome,GA,23,12,1,2,41
Georgia Institute of Technology-Main Campus,Atlanta,GA,15,17,1,5,11
Georgia Military College,Milledgeville,GA,14,12,1,2,32
Georgia Northwestern Technical College,Rome,GA,8,3,1,1,13
Georgia Piedmont Technical College,Clarkston,GA,8,2,1,1,21
Georgia Southern University,Statesboro,GA,16,16,1,3,32
Georgia Southwestern State University,Americus,GA,19,10,1,4,32
Georgia State University,Atlanta,GA,15,15,1,4,11
Georgia State University-Perimeter College,Atlanta,GA,1,5,1,1,11
Georgian Court University,Lakewood,NJ,18,10,2,4,13
Germanna Community College,Locust Grove,VA,2,3,1,1,41
Gettysburg College,Gettysburg,PA,21,11,2,2,13
Glasgow Caledonian New York College,New York,NY,20,18,2,7,11
Glen Oaks Community College,Centreville,MI,6,2,1,1,42
Glendale Career College,Glendale,CA,10,2,3,1,12
Glendale Career College-Brightwood Teachout,San Diego,CA,10,1,3,1,11
Glendale Community College,Glendale,AZ,2,4,1,1,21
Glendale Community College,Glendale,CA,1,4,1,1,12
Glenville State University,Glenville,WV,22,11,1,2,33
Gnomon,Hollywood,CA,30,6,3,2,11
Goddard College,Plainfield,VT,20,6,2,6,42
Gods Bible School and College,Cincinnati,OH,22,7,2,3,11
Gogebic Community College,Ironwood,MI,7,2,1,1,41
Golden Gate University-San Francisco,San Francisco,CA,18,9,2,6,11
Golden West College,Huntington Beach,CA,2,4,1,1,21
Goldey-Beacom College,Wilmington,DE,18,7,2,5,21
Gonzaga University,Spokane,WA,17,14,2,4,12
Good Samaritan College of Nursing and Health Science,Cincinnati,OH,26,6,2,2,11
Goodwin University,East Hartford,CT,23,9,2,3,13
Gordon College,Wenham,MA,21,11,2,4,21
Gordon State College,Barnesville,GA,23,10,1,2,32
Gordon-Conwell Theological Seminary,South Hamilton,MA,24,18,2,7,21
Goshen College,Goshen,IN,22,8,2,3,13
Goucher College,Baltimore,MD,21,11,2,4,13
Governors State University,University Park,IL,18,12,1,5,41
Grace Christian University,Wyoming,MI,22,6,2,3,21
Grace College and Theological Seminary,Winona Lake,IN,19,11,2,3,32
Grace College of Divinity,Fayetteville,NC,22,6,2,4,12
Grace Mission University,Fullerton,CA,24,6,2,5,21
Grace School of Theology,Conroe,TX,24,6,2,6,13
Graceland University-Lamoni,Lamoni,IA,18,11,2,5,43
Graduate Theological Union,Berkeley,CA,24,18,2,7,12
Grambling State University,Grambling,LA,18,14,1,3,32
Grand Canyon University,Phoenix,AZ,17,15,2,5,11
Grand Rapids Community College,Grand Rapids,MI,4,4,1,1,12
Grand Valley State University,Allendale,MI,17,16,1,3,21
Grand View University,Des Moines,IA,20,11,2,3,12
Granite State College,Concord,NH,20,9,1,4,31
Gratz College,Melrose Park,PA,20,6,2,6,21
Grays Harbor College,Aberdeen,WA,14,6,1,2,41
Grayson College,Denison,TX,8,3,1,1,41
Great Basin College,Elko,NV,23,9,1,2,33
Great Bay Community College,Portsmouth,NH,6,2,1,1,23
Great Falls College Montana State University,Great Falls,MT,6,2,1,1,13
Great Lakes Christian College,Lansing,MI,22,8,2,2,21
Great Lakes Institute of Technology,Erie,PA,10,1,3,1,22
Green River College,Auburn,WA,23,12,1,2,13
Greenfield Community College,Greenfield,MA,5,2,1,1,32
Greensboro College,Greensboro,NC,20,8,2,4,11
Greenville Technical College,Greenville,SC,7,4,1,1,13
Greenville University,Greenville,IL,20,8,2,3,32
Grinnell College,Grinnell,IA,21,11,2,2,33
Grossmont College,El Cajon,CA,1,4,1,1,21
Grove City College,Grove City,PA,22,11,2,2,32
Guam Community College,Mangilao,GU,4,2,1,1,33
Guilford College,Greensboro,NC,21,11,2,3,11
Guilford Technical Community College,Jamestown,NC,4,4,1,1,22
Gulf Coast State College,Panama City,FL,14,9,1,2,13
Gupton Jones College of Funeral Service,Decatur,GA,12,1,2,1,21
Gurnick Academy of Medical Arts,San Mateo,CA,26,9,3,2,12
Gustavus Adolphus College,Saint Peter,MN,21,11,2,2,31
Gwinnett College-Lilburn,Lilburn,GA,9,1,3,1,21
Gwinnett College-Marietta Campus,Marietta,GA,10,1,3,1,13
Gwinnett Institute,Orlando,FL,10,2,3,1,21
Gwinnett Technical College,Lawrenceville,GA,8,3,1,1,21
Gwynedd Mercy University,Gwynedd Valley,PA,17,10,2,5,21
H Councill Trenholm State Community College,Montgomery,AL,7,2,1,1,12
Hacienda La Puente Adult Education,La Puente,CA,10,2,1,1,21
Hagerstown Community College,Hagerstown,MD,5,2,1,1,22
Halifax Community College,Weldon,NC,6,1,1,1,41
Hallmark University,San Antonio,TX,22,6,2,3,11
Hamilton College,Clinton,NY,21,11,2,2,22
Hamline University,Saint Paul,MN,18,10,2,4,11
Hampden-Sydney College,Hampden-Sydney,VA,21,8,2,2,42
Hampshire College,Amherst,MA,21,8,2,2,21
Hampton University,Hampton,VA,17,14,2,4,12
Hannibal-LaGrange University,Hannibal,MO,22,8,2,3,33
Hanover College,Hanover,IN,21,11,2,2,32
Harcum College,Bryn Mawr,PA,7,2,2,1,21
Harding University,Searcy,AR,17,14,2,4,32
Hardin-Simmons University,Abilene,TX,17,11,2,4,12
Harford Community College,Bel Air,MD,4,3,1,1,41
Harrisburg Area Community College,Harrisburg,PA,8,4,1,1,13
Harrisburg University of Science and Technology,Harrisburg,PA,18,13,2,6,13
Harris-Stowe State University,Saint Louis,MO,22,10,1,2,11
Hartford International University for Religion and Peace,Hartford,CT,20,18,2,7,12
Hartnell College,Salinas,CA,1,4,1,1,12
Hartwick College,Oneonta,NY,21,11,2,3,33
Harvard University,Cambridge,MA,15,17,2,6,12
Harvey Mudd College,Claremont,CA,21,8,2,2,21
Haskell Indian Nations University,Lawrence,KS,33,8,1,2,13
Hastings College,Hastings,NE,22,8,2,3,32
Haven University,Garden Grove,CA,24,6,2,5,21
Haverford College,Haverford,PA,21,11,2,2,21
