university,city_land_area,international_students_natlib,international_students_max,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_qs,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,city,state,city_population_density,city_population
University of Colorado Denver,153,0.09,1274,32820,NA,NA,401-500,public,NA,National,NA,NA,NA,L,3,Very High,NA,NA,NA,NA,NA,NA,14995,NA,Denver,CO,4530,693060
City University of New York,303,NA,6462,NA,NA,NA,601-800,public,NA,NA,NA,NA,NA,XL,16,Very High,NA,NA,NA,NA,NA,NA,NA,NA,New York City,NY,28210,8468000
Missouri University of Science and Technology,NA,NA,557,31286,very competitive plus,NA,501-600,public,Four-year (median),NA,Doctoral Universities,Majority undergraduate,town or rural,M,18,Very High,NA,NA,NA,NA,NA,NA,6086,NA,Rolla,MO,1644,20129
Indiana State University,35,NA,340,20570,NA,NA,1001-1200,public,Four-year (median),NA,Doctoral Universities,Majority undergraduate,city,M,18,Medium High,NA,NA,NA,NA,NA,NA,8939,NA,Terre Haute,IN,1762,60852
Colorado School of Mines,NA,NA,627,39800,highly competitive,NA,401-500,public,Four-year (median),NA,Doctoral Universities,Majority undergraduate,suburb,M,11,Very High,NA,NA,NA,NA,NA,NA,5216,NA,Golden,CO,2147,19871
Michigan Technological University,NA,NA,694,38112,NA,NA,601-800,public,Four-year (median),NA,Doctoral Universities,Majority undergraduate,town or rural,M,12,Very High,NA,NA,NA,NA,NA,NA,5642,NA,Houghton,MI,1902,7622
New Jersey Institute of Technology,24,0.06,2874,33386,NA,NA,601-800,public,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,14,Very High,NA,NA,NA,NA,NA,NA,9084,NA,Newark,NJ,11648,281764
University of Montana Missoula,28,NA,190,NA,NA,NA,1001-1200,public,NA,NA,NA,NA,NA,M,14,Very High,NA,NA,NA,NA,NA,NA,NA,NA,Missoula,MT,2171,74822
Rutgers University--Newark,24,0.07,1246,32409,NA,NA,801-1000,public,NA,National,NA,NA,NA,M,14,Medium High,NA,NA,NA,NA,NA,NA,9118,NA,Newark,NJ,11648,281764
College of William and Mary,NA,0.05,729,46467,most competitive,NA,601-800,public,Four-year (median),National,Doctoral Universities,Majority undergraduate,suburb,M,10,Very High,NA,NA,NA,NA,NA,NA,6236,NA,Williamsburg,VA,1756,15590
University at Albany SUNY,21,NA,1216,NA,NA,NA,NA,public,NA,NA,NA,NA,NA,L,19,Very High,NA,NA,NA,NA,NA,NA,NA,NA,Albany,NY,4649,98617
University of Maryland - Baltimore,81,NA,1074,NA,NA,NA,NA,public,NA,NA,NA,NA,NA,M,14,Medium High,NA,NA,NA,NA,NA,NA,NA,NA,Baltimore,MD,7594,614664
University of Massachusetts Boston,48,0.06,1527,35139,NA,NA,601-800,public,NA,National,NA,NA,NA,L,15,Very High,NA,NA,NA,NA,NA,NA,12871,NA,Boston,MA,13943,673184
"University of Missouri, Kansas City",315,NA,817,NA,NA,NA,801-1000,public,NA,NA,NA,NA,NA,M,12,Very High,NA,NA,NA,NA,NA,NA,NA,NA,Kansas City,MO,1644,508394
Binghamton University SUNY,NA,NA,1833,NA,NA,NA,801-1000,public,NA,NA,NA,NA,NA,L,20,Very High,NA,NA,NA,NA,NA,NA,NA,NA,Binghamton,NY,4589,47566
University of New Hampshire,NA,NA,768,37202,NA,NA,801-1000,public,NA,NA,NA,NA,NA,L,17,Very High,NA,NA,NA,NA,NA,NA,11747,NA,Durham,NH,727,16574
University of Wyoming,NA,NA,564,20647,NA,401-500,801-1000,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,town or rural,M,12,Very High,0,9.6,11.3,24.1,17.9,0,9342,NA,Laramie,WY,1719,31659
University of Rhode Island,NA,NA,417,33354,NA,NA,1001-1200,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,suburb,L,17,Medium High,NA,NA,NA,NA,NA,NA,14073,NA,Kingston,RI,5137,6407
University of Texas El Paso,255,NA,1351,NA,NA,NA,1001-1200,public,NA,NA,NA,NA,NA,L,20,Very High,NA,NA,NA,NA,NA,NA,NA,NA,El Paso,TX,2660,678415
