university,city_land_area,international_students_natlib,international_students_max,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_qs,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,city,state,city_population_density,city_population
Beloit College,NA,0.14,NA,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beloit,WI,2115,36609
Bennington College,NA,0.18,NA,NA,highly competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bennington,VT,360,15333
Bentley University,13,NA,968,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waltham,MA,4949,63002
Berea College,NA,0.08,NA,NA,very competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Berea,KY,965,15924
Berklee College of Music,48,NA,1685,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston,MA,13943,673184
Bethany Lutheran College,NA,0.2,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mankato,MN,2386,44693
Biola University,NA,0.06,NA,44382,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,3682,NA,La Mirada,CA,6124,46658
Boston Architectural College,48,NA,192,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Majority graduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston,MA,13943,673184
Bowdoin College,NA,0.07,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brunswick,ME,1198,20329
Briar Cliff University,57,0.07,NA,NA,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sioux City,IA,1445,82872
Bryn Mawr College,NA,0.15,288,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bryn Mawr,PA,6143,5611
Bucknell University,NA,0.05,234,NA,most competitive,NA,NA,private,Four-year (median),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lewisburg,PA,18927,815201
California College of the Arts,47,NA,701,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Francisco,CA,18581,870887
California Institute of the Arts,NA,NA,387,NA,NA,NA,NA,private,Four-year (small),NA,Master's Colleges & Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Valencia,CA,2107,63070
Cardinal Stritch University,96,0.21,NA,34762,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,1068,NA,Milwaukee,WI,6191,595047
Carleton College,NA,0.1,217,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northfield,MN,2465,20729
Carson-Newman University,NA,0.06,NA,31320,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,1722,NA,Jefferson City,TN,1286,8262
Claremont McKenna College,NA,0.15,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Claremont,CA,2826,35703
Clarke University,30,0.06,NA,36870,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,659,NA,Dubuque,IA,1953,58531
Colby College,NA,0.09,199,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waterville,ME,1171,15959
Colgate University,NA,0.09,319,NA,most competitive,NA,NA,private,Four-year (median),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hamilton,NY,1647,3736
Colorado College,195,0.07,NA,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colorado Springs,CO,2391,465101
Concordia College at Moorhead,NA,0.06,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moorhead,MN,2057,44668
Connecticut College,NA,0.09,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New London,CT,4868,27635
Dallas Baptist University,341,0.06,NA,33620,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,2874,NA,Dallas,TX,3870,1317929
Davidson College,NA,0.08,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davidson,NC,2671,15132
Denison University,NA,0.17,397,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Granville,OH,1236,5709
DePauw University,NA,0.17,278,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Greencastle,IN,1854,9983
Dickinson College,NA,0.11,209,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carlisle,PA,3688,20144
Drew University,NA,0.11,442,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Madison,NJ,3977,16948
Earlham College,NA,0.2,207,NA,very competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richmond,IN,3856,35817
Emerson College,48,NA,640,NA,highly competitive,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston,MA,13943,673184
Fairfax University of America,NA,NA,166,NA,NA,NA,NA,private,Four-year (small),NA,Baccalaureate Colleges,Exclusive/Majority graduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fairfax,VA,4097,24276
Fisk University,475,0.12,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nashville,TN,1390,660388
Florida Institute of Technology,34,0.19,NA,43246,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,3475,NA,Melbourne,FL,2398,81185
Franklin and Marshall College,7,0.18,430,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lancaster,PA,8191,59218
Gallaudet University,61,0.05,NA,17112,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019,NA,Washington,DC,11158,681170
Gannon University,19,0.1,NA,34526,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,3208,NA,Erie,PA,5167,98593
Gettysburg College,NA,0.05,NA,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gettysburg,PA,4220,7392
Gordon College,NA,0.08,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wenham,MA,610,5284
Grinnell College,NA,0.2,346,NA,highly competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grinnell,IA,1681,9513
Hamilton College,NA,0.07,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clinton,NY,2688,1664
Hampshire College,NA,0.06,NA,NA,highly competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amherst,MA,1422,37819
Harding University,NA,0.06,NA,22470,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,3574,NA,Searcy,AR,1252,23098
Harvey Mudd College,NA,0.09,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Claremont,CA,35703,2826
Haverford College,NA,0.11,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Haverford,PA,1818,49391
Hollins University,43,0.09,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roanoke,VA,2342,99660
Juniata College,NA,0.07,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Huntingdon,PA,2012,6818
Kenyon College,NA,0.1,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gambier,OH,2362,2193
Knox College,NA,0.16,NA,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galesburg,IL,1692,29712
Lafayette College,NA,0.08,255,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Easton,PA,6660,28057
Lake Forest College,NA,0.16,NA,NA,very competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake Forest,IL,1126,19253
Lawrence Technological University,26,NA,597,NA,NA,NA,NA,private,Four-year (small),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Southfield,MI,2783,73100
Lawrence University,24,0.12,NA,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appleton,WI,3057,74370
Lincoln Memorial University,NA,0.06,NA,24210,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Exclusive/Majority graduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,1817,NA,Harrogate,TN,606,4327
Loma Linda University,NA,NA,327,NA,NA,NA,NA,private,Four-year (median),NA,Doctoral Universities,Exclusive/Majority graduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Loma Linda,CA,3278,25072
Loyola Marymount University,469,0.1,NA,53051,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,6673,NA,Los Angeles,CA,8484,3976322
Luther College,NA,0.1,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decorah,IA,1052,7747
Lynn University,29,NA,542,NA,NA,NA,NA,private,Four-year (small),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boca Raton,FL,3277,96114
Lyon College,NA,0.08,NA,NA,highly competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Batesville,AR,965,11166
Macalester College,52,0.13,388,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,St. Paul,MN,5818,302398
Maryland Institute College of Art,81,NA,541,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baltimore,MD,7594,614664
Marymount University,NA,0.14,NA,NA,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arlington,VA,9418,238643
Maryville College,NA,0.05,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maryville,TN,1901,32263
MCPHS University,48,NA,941,NA,NA,NA,NA,private,Four-year (median),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston,MA,13943,673184
Menlo College,NA,NA,170,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atherton,CA,1433,6915
Middlebury College,NA,0.11,293,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Middlebury,VT,535,7448
Missouri Valley College,NA,NA,283,NA,NA,NA,NA,private,Four-year (small),NA,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marshall,MO,1364,13506
Moody Bible Institute,228,NA,164,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chicago,IL,11883,2704958
Mount Holyoke College,NA,0.24,646,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Hadley,MA,945,17806
New York School of Interior Design,303,NA,117,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,28211,8537673
Niagara University,NA,NA,661,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lewiston,NY,431,2695
Nova Southeastern University,NA,0.05,NA,34570,NA,NA,NA,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,6314,NA,Ft. Lauderdale,FL,5284,181668
Oakland City University,NA,0.07,NA,NA,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oakland City,IN,2203,2278
Oberlin College,NA,0.11,342,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oberlin,OH,1751,8249
Occidental College,469,0.06,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,CA,8484,3976322
Oglethorpe University,133,0.1,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atlanta,GA,3549,472522
Ohio Wesleyan University,NA,0.07,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Delaware,OH,2208,42814
Oklahoma City University,606,0.06,NA,32744,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,1526,NA,Oklahoma City,OK,1053,638367
Oral Roberts University,197,0.15,NA,NA,NA,NA,NA,private,Four-year (median),National,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tulsa,OK,2049,403090
Otis College of Art and Design,469,NA,241,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,CA,8484,3976322
Pace University,303,0.07,NA,48830,NA,NA,NA,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,7994,NA,New York,NY,28211,8537673
Pepperdine University,NA,0.09,NA,59702,highly competitive,NA,NA,private,Four-year (median),National,Doctoral Universities,Exclusive/Majority graduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,3459,NA,Malibu,CA,540,10429
Pitzer College,NA,0.07,NA,NA,highly competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Claremont,CA,2826,35703
Pomona College,NA,0.11,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Claremont,CA,2826,35703
Principia College,NA,0.24,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elsah,IL,475,528
Randolph College,49,0.05,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lynchburg,VA,1633,80212
Rhode Island School of Design,18,NA,1077,NA,NA,NA,NA,private,Four-year (small),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Providence,RI,9740,179219
Rhodes College,315,0.06,NA,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memphis,TN,2072,652717
Ringling College of Art and Design,15,NA,346,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sarasota,FL,3862,56610
Robert Morris University,NA,0.06,NA,32770,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,3312,NA,Moon Township,PA,939,25480
Rose-Hulman Institute of Technology,35,NA,255,NA,most competitive,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terre Haute,IN,1762,60852
Saint Leo University,NA,0.14,NA,NA,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saint Leo,FL,2103,1634
San Francisco Conservatory of Music,47,NA,139,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Francisco,CA,18581,870887
Santa Clara University,18,0.06,NA,55860,highly competitive,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,5608,NA,Santa Clara,CA,6841,125948
Sarah Lawrence College,NA,0.07,NA,NA,highly competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bronxville,NY,6848,6525
Savannah College of Art and Design,103,NA,4083,NA,NA,NA,NA,private,Four-year (large),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Savannah,GA,1423,146763
School of the Art Institute of Chicago,228,NA,1092,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chicago,IL,11883,2704958
Seattle Pacific University,84,0.05,NA,35646,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,2702,NA,Seattle,WA,8391,704352
Skidmore College,NA,0.09,291,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saratoga Springs,NY,1029,28301
Soka University of America,7,0.49,221,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aliso Viejo,CA,6884,51424
St. Thomas University,18,0.11,NA,NA,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Exclusive/Majority graduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Miami Gardens,FL,6202,113058
Suffolk University,48,0.15,1273,NA,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston,MA,13943,673184
Swarthmore College,NA,0.16,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Swarthmore,PA,4724,6595
Sweet Briar College,NA,0.06,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sweet Briar,VA,321,598
Texas Christian University,340,0.05,NA,51660,highly competitive,NA,NA,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,9704,NA,Fort Worth,TX,2513,854113
The Juilliard School,303,NA,300,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,28211,8537673
The King's College,303,0.06,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,28211,8537673
The University of Tampa,113,NA,832,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tampa,FL,3326,377165
Thomas Aquinas College,NA,0.05,NA,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Santa Paula,CA,6812,30759
Trevecca Nazarene University,475,0.1,NA,26898,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Exclusive/Majority graduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,2095,NA,Nashville,TN,1390,660388
Trinity College,17,0.13,338,NA,highly competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hartford,CT,7091,123243
Union College,11,0.1,228,NA,highly competitive,NA,NA,private,Four-year (small),Liberal Arts,Master's Colleges & Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Schenectady,NY,6022,64913
University of Charleston,NA,0.07,NA,31400,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,2115,NA,Charleston,WV,1535,48018
University of Detroit Mercy,139,0.07,NA,30154,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,2633,NA,Detroit,MI,4849,672795
