university,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,city.x,state_natlib,international_students_natlib,type3_natlib,city.y,state_opendoors,international_students_opendoors,size_qs,type1_qs,city.x.x,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,international_students_qs,state,selectivity,state_top120enrollment,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,city.y.y,state_carnegie,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
Wayne State University,NA,401-500,401,118-139,5.4,9.6,0,0,36.6,15.3,261,32727,17513,NA,NA,NA,NA,NA,NA,NA,L,Public,Detroit,NA,511-520,Very High,2.699,8,1.278,NA,NA,NA,NA,NA,NA,Detroit,MI,15,15,1,5,11
Georgetown University,NA,201-300,201,70-95,6,27.1,0,0,33,23.8,23,59957,7357,Washington,DC,0.14,National,NA,NA,NA,L,Private,Washington D.C.,38.7,248,Very High,2009,8,3286,DC,1,NA,NA,NA,NA,Washington,DC,15,17,2,6,11
The University of Texas Health Science Center at Houston,NA,301-400,301,96-117,13.6,0,0,15.2,34.4,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Houston,TX,27,12,1,6,11
Kansas State University,NA,401-500,401,118-139,12.3,0,0,0,31.4,17.7,165,26342,16257,NA,NA,NA,NA,NA,NA,NA,L,Public,Manhattan,NA,801-1000,Very High,1.371,14,1.4809999999999999,NA,NA,NA,NA,NA,NA,Manhattan,KS,15,16,1,4,13
University of Wisconsin-Milwaukee,NA,401-500,401,118-139,9.7,9.6,10.2,0,25.6,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Milwaukee,WI,15,15,1,4,11
University of Wyoming,NA,401-500,401,118-139,11.3,9.6,0,0,24.1,17.9,201,20647,9342,NA,NA,NA,NA,NA,NA,NA,M,Public,Laramie,NA,801-1000,Very High,904,12,564,NA,NA,NA,NA,NA,NA,Laramie,WY,16,16,1,4,33
Utah State University,NA,401-500,401,118-139,8.4,9.6,13.4,0,26.4,16.8,260,23434,24647,NA,NA,NA,NA,NA,NA,NA,L,Public,Logan,NA,1001-1200,Very High,1053,19,331,NA,NA,UT,Public,4-year,27691,Logan,UT,15,15,1,3,13
Oregon State University,NA,151-200,151,59-69,21.9,19.2,10.2,0,38.8,23.8,167,32288,26644,NA,NA,NA,NA,NA,NA,NA,L,Public,Corvallis,NA,531-540,Very High,2.1470000000000002,12,2.769,NA,NA,OR,Public,4-year,32312,Corvallis,OR,15,15,1,4,13
Stanford University,75.6,2,2,2,78.6,76.6,44.5,88.5,76.5,56,6,56169,6366,Stanford,CA,0.11,National,NA,NA,NA,L,Private,Stanford,98.7,3,Very High,4725,3,3879,CA,1,NA,NA,NA,NA,Stanford,CA,15,17,2,6,21
University of Chicago,55.5,10,10,8,42.5,35.8,59.2,90.1,52,44.2,7,60963,6989,Chicago,IL,0.16,National,NA,NA,NA,L,Private,Chicago,94.5,10,Very High,2703,6,4696,IL,1,NA,NA,NA,NA,Chicago,IL,15,17,2,6,11
