university,city,state,international_students_natlib,international_students_opendoors,international_students_qs,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,type3_natlib,size_qs,type1_qs,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,selectivity,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
University of Connecticut,Storrs,CT,0.08,NA,3765,NA,301-400,301,96-117,12.5,0,11.4,0,37.8,14.5,66,41192,18917,National,L,1,29.6,373,Very High,1328,19,3,NA,NA,NA,15,17,1,5,21
Kansas State University,Manhattan,KS,NA,NA,1481,NA,401-500,401,118-139,12.3,0,0,0,31.4,17.7,165,26342,16257,NA,L,1,NA,801-1000,Very High,1371,14,NA,NA,NA,NA,15,16,1,4,13
Syracuse University,Syracuse,NY,0.13,5443,3571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,57591,14479,National,L,4,NA,651-700,Very High,1374,14,3,NA,NA,NA,15,17,2,5,12
Oklahoma State University,Stillwater,NA,NA,NA,1617,NA,401-500,401,118-139,4.9,9.6,0,0,30.2,16.6,187,24539,20307,NA,L,1,NA,801-1000,High,1484,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Vermont,Burlington,VT,NA,NA,546,NA,301-400,301,96-117,10.3,9.6,13.4,0,27.7,15.7,121,43890,11136,NA,L,1,NA,651-700,High,1485,8,NA,NA,NA,NA,16,17,1,4,13
Louisiana State University,Baton Rouge,NA,NA,NA,1315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XL,1,NA,801-1000,Very High,1490,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of California, Riverside",Riverside,NA,NA,NA,2034,NA,151-200,151,59-69,16.7,27.1,12.4,0,35.5,25.7,NA,NA,NA,NA,L,1,27.9,403,Very High,1497,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
Auburn University,Auburn,AL,NA,NA,2283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,31956,24505,NA,L,1,NA,801-1000,Very High,1507,18,NA,1,4-year,30737,15,15,1,4,13
University at Buffalo SUNY,Buffalo,NY,0.13,6161,4409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,28194,22306,National,L,1,28.7,388,Very High,1530,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana University–Purdue University Indianapolis,Indianapolis,NA,NA,NA,1104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,1,NA,801-1000,High,1540,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clemson University,Clemson,SC,NA,NA,1418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,37712,20868,NA,L,1,NA,801-1000,Very High,1558,15,3,NA,NA,NA,15,16,1,4,21
University of Oregon,Eugene,OR,0.09,NA,1740,NA,301-400,301,96-117,11.6,9.6,8.8,0,28.4,18.2,101,39308,18045,National,L,1,NA,651-700,Very High,1583,13,NA,NA,NA,NA,15,16,1,4,12
University of Hawaiʻi at Mānoa,Honolulu,NA,NA,NA,1586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,1,32.1,340,Very High,1640,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa State University,Ames,IA,NA,NA,2441,NA,201-300,201,70-95,9.1,23.5,0,0,42,20.6,NA,NA,NA,NA,L,1,24.1,494,Very High,1656,17,NA,1,4-year,31822,15,16,1,4,13
The University of Alabama,Tuscaloosa,AL,NA,NA,1283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XL,1,NA,801-1000,Very High,1694,20,NA,1,4-year,37840,15,16,1,4,12
University of Houston,Houston,TX,NA,NA,3049,NA,201-300,201,70-95,12,13.5,0,0,40.1,21.5,183,27110,39165,NA,XL,1,NA,701-750,Very High,1702,22,NA,1,4-year,47090,15,15,1,4,11
University of Oklahoma,Norman,NA,NA,NA,1418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,25116,21383,NA,L,1,NA,651-700,Very High,1709,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeastern University,Boston,MA,0.15,NA,7595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,57592,15156,National,L,4,31.9,342,Very High,1723,12,3,NA,NA,NA,15,17,2,5,11
Tulane University,New Orleans,LA,0.05,NA,1172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,60814,7700,National,M,4,26.6,436,Very High,1733,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Tech University,Lubbock,TX,NA,NA,2196,NA,401-500,401,118-139,7,9.6,0,0,34.4,16.4,220,24092,33269,NA,XL,1,NA,801-1000,High,1772,19,NA,1,4-year,40322,15,15,1,4,11
