university,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,city.x,state_natlib,international_students_natlib,type3_natlib,city.y,state_opendoors,international_students_opendoors,size_qs,type1_qs,city.x.x,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,international_students_qs,state,selectivity,state_top120enrollment,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,city.y.y,state_carnegie,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
University of St. Thomas (TX),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Houston,TX,0.05,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soka University of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aliso Viejo,CA,0.49,Liberal Arts,Aliso Viejo,CA,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aliso Viejo,CA,21,8,2,3,21
Mount Holyoke College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Hadley,MA,0.24,Liberal Arts,South Hadley,MA,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA,2,NA,NA,NA,NA,South Hadley,MA,21,11,2,3,21
Principia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elsah,IL,0.24,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elsah,IL,21,8,2,2,41
Bethany Lutheran College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mankato,MN,0.2,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mankato,MN,21,8,2,2,13
Earlham College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richmond,IN,0.2,Liberal Arts,Richmond,IN,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,IN,4,NA,NA,NA,NA,Richmond,IN,21,8,2,3,32
Grinnell College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grinnell,IA,0.2,Liberal Arts,Grinnell,IA,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,IA,3,NA,NA,NA,NA,Grinnell,IA,21,11,2,2,33
Bennington College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bennington,VT,0.18,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VT,3,NA,NA,NA,NA,Bennington,VT,21,8,2,4,32
Franklin & Marshall College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lancaster,PA,0.18,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denison University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Granville,OH,0.17,Liberal Arts,Granville,OH,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,OH,2,NA,NA,NA,NA,Granville,OH,21,11,2,2,23
DePauw University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Greencastle,IN,0.17,Liberal Arts,Greencastle,IN,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Greencastle,IN,21,11,2,2,32
Knox College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galesburg,IL,0.16,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IL,2,NA,NA,NA,NA,Galesburg,IL,21,11,2,2,32
Lake Forest College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake Forest,IL,0.16,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IL,4,NA,NA,NA,NA,Lake Forest,IL,21,11,2,3,21
St. John's College (NM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Santa Fe,NM,0.16,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swarthmore College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Swarthmore,PA,0.16,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PA,1,NA,NA,NA,NA,Swarthmore,PA,21,11,2,2,21
