university,city,state,city_population_density,city_population,city_land_area,international_students_natlib,international_students_max,international_students_qs,international_students_opendoors,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_arwu,world_rank_qs,national_rank_arwu,national_rank_kaggle,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,faculty_count_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,total_score_arwu,score_qs
Pennsylvania State University - University Park,University Park,PA,NA,NA,NA,NA,8267,6943,8267,NA,NA,51-100,74,51-100,37,NA,public,NA,NA,NA,NA,NA,XL,4207,11,Very High,0,34.5,28.7,55.1,24.6,10.2,NA,NA,27.7,61.5
University of California - Los Angeles,Los Angeles,CA,8484,3976322,469,0.1,10273,6140,10273,NA,NA,1-20,11,21-50,9,NA,public,NA,National,NA,NA,NA,XL,4487,10,Very High,46.4,55.9,44.9,73.1,32.1,29.2,NA,44589,51.2,79.7
University of California - San Diego,La Jolla,CA,NA,NA,NA,0.16,10824,8567,10824,NA,NA,1-20,15,21-50,13,NA,public,NA,National,NA,NA,NA,XL,4545,8,Very High,35.1,53.3,53,65.4,35.9,19,NA,39576,47.8,76.1
University of North Carolina at Chapel Hill,Chapel Hill,NC,2805,59246,21,0.05,2749,2749,NA,NA,most competitive,21-50,30,51-100,22,NA,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,4646,7,Very High,23.4,45.9,30.2,64.7,34.4,8.8,NA,30092,37.9,59.6
University of Pittsburgh,Pittsburgh,NA,NA,NA,NA,NA,2590,2590,NA,NA,NA,NA,NA,151-200,NA,NA,public,NA,NA,NA,NA,NA,L,4746,6,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1
Rutgers University - New Brunswick,New Brunswick,NJ,10881,56910,5,NA,7965,7965,6554,NA,NA,NA,NA,201-300,NA,NA,public,NA,NA,NA,NA,NA,XL,5009,9,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2
University of Minnesota - Twin Cities,Minneapolis,MN,7664,413651,54,0.06,6396,5630,6396,NA,NA,21-50,37,151-200,25,NA,public,NA,National,NA,NA,NA,XL,5087,11,Very High,16.1,34.5,31.2,67.5,23.7,29.2,NA,52017,35.9,45.7
University of Wisconsin - Madison,Madison,WI,3289,252551,77,0.1,7139,5737,7139,38608,highly competitive plus,21-50,28,51-100,21,46,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,5166,8,Very High,34.3,30.3,32.3,65,24.3,32.5,33585,NA,38.9,66.2
The University of Arizona,Tucson,NA,NA,NA,NA,NA,3526,3526,NA,NA,NA,NA,NA,201-300,NA,NA,public,NA,NA,NA,NA,NA,XL,5724,6,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9
University of Florida,Gainesville,FL,2147,131591,61,NA,5919,4143,5919,28658,highly competitive,51-100,86,151-200,41,31,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,6222,7,Very High,0,28.7,18.9,63.6,24.8,16.8,34931,53372,27,46.9
The Ohio State University,Columbus,OH,3960,860090,217,0.07,7029,7029,NA,NA,NA,NA,NA,101-150,NA,NA,public,NA,National,NA,NA,NA,XL,6388,9,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,56
University of Michigan - Ann Arbor,Ann Arbor,MI,4340,120782,28,0.08,8252,7341,8252,53232,highly competitive plus,21-50,27,21-50,20,24,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,7132,6,Very High,0,41.8,41,80.8,25,34.1,31329,NA,39.4,86.2
Arkansas State University,State University,AR,NA,NA,NA,0.05,NA,NA,NA,16070,NA,NA,NA,NA,NA,301,public,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8486,NA,NA,NA
Bellevue College,Bellevue,WA,4423,141400,32,NA,758,NA,758,NA,NA,NA,NA,NA,NA,NA,public,Four-year (median),NA,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bergen Community College,Paramus,NJ,NA,NA,NA,NA,357,NA,357,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Broward College,Fort Lauderdale,FL,5141,178752,35,NA,540,NA,540,NA,NA,NA,NA,NA,NA,NA,public,Four-year (large),NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33243,NA,NA
Bunker Hill Community College,Boston,MA,13943,673184,48,NA,603,NA,603,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Piedmont Community College,Charlotte,NC,2829,842051,298,NA,363,NA,363,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus College,Glendora,CA,2674,51851,19,NA,278,NA,278,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City College of San Francisco,San Francisco,CA,18581,870887,47,NA,500,NA,500,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Collin County Community College District,McKinney,TX,2770,172298,62,NA,608,NA,608,NA,NA,NA,NA,NA,NA,NA,public,Four-year (large),NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35390,NA,NA
CUNY Borough of Manhattan Community College,New York,NY,28211,8537673,303,NA,736,NA,736,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUNY LaGuardia Community College,Long Island City,NY,NA,NA,NA,NA,431,NA,431,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas College,Dallas,TX,3870,1317929,341,NA,1450,NA,1450,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74781,NA,NA
De Anza College,Cupertino,CA,5386,60643,11,NA,1865,NA,1865,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diablo Valley College,Pleasant Hill,CA,NA,NA,NA,NA,693,NA,693,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edmonds College,Lynnwood,WA,NA,NA,NA,NA,698,NA,698,NA,NA,NA,NA,NA,NA,NA,public,Four-year (small),NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foothill College,Los Altos Hills,CA,NA,NA,NA,NA,748,NA,748,NA,NA,NA,NA,NA,NA,NA,public,Four-year (median),NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glendale Community College,Glendale,CA,6595,200831,30,NA,377,NA,377,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden West College,Huntington Beach,CA,7501,200652,27,NA,305,NA,305,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green River College,Auburn,WA,2616,77472,30,NA,908,NA,908,NA,NA,NA,NA,NA,NA,NA,public,Four-year (median),NA,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grossmont College,El Cajon,CA,7191,103768,14,NA,336,NA,336,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irvine Valley College,Irvine,CA,4025,266122,66,NA,606,NA,606,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapiolani Community College,Honolulu,HI,NA,NA,NA,NA,351,NA,351,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lone Star College System,The Woodlands,TX,NA,NA,NA,NA,2884,NA,2884,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70109,NA,NA
Massachusetts College of Art and Design,Boston,MA,13943,673184,48,NA,119,NA,119,NA,NA,NA,NA,NA,NA,NA,public,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Midwestern State University,Wichita Falls,TX,1452,104724,72,NA,522,NA,522,NA,NA,NA,NA,NA,NA,NA,public,Four-year (median),NA,Master's Colleges & Universities,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montgomery College,Rockville,MD,4955,66940,14,NA,1446,NA,1446,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morgan State University,Baltimore,MD,7594,614664,81,0.06,NA,NA,NA,18480,NA,NA,NA,NA,NA,333,public,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6270,NA,NA,NA
Mt. San Antonio College,Walnut,CA,NA,NA,NA,NA,364,NA,364,NA,NA,NA,NA,NA,NA,NA,public,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28393,NA,NA
Northern Virginia Community College,Annandale,VA,NA,NA,NA,NA,1167,NA,1167,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52873,NA,NA
Northwest Missouri State University,Maryville,MO,NA,NA,NA,NA,808,NA,808,NA,NA,NA,NA,NA,NA,NA,public,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oakland Community College,Royal Oak,MI,5009,59006,12,NA,277,NA,277,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange Coast College,Costa Mesa,CA,7209,112822,16,NA,1180,NA,1180,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pasadena City College,Pasadena,CA,6185,142059,23,NA,581,NA,581,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Community College,Portland,OR,4795,639863,133,NA,331,NA,331,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco State University,San Francisco,CA,18581,870887,47,0.07,1260,NA,1260,NA,NA,NA,NA,NA,NA,NA,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Jose State University,San Jose,CA,5808,1025350,177,NA,4644,NA,4644,NA,NA,NA,NA,NA,NA,NA,public,Four-year (large),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36208,NA,NA
Santa Barbara City College,Santa Barbara,CA,4722,91930,19,NA,397,NA,397,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Monica College,Santa Monica,CA,10996,92478,8,NA,2104,NA,2104,NA,NA,NA,NA,NA,NA,NA,public,Four-year (large),NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Central College,Seattle,WA,8391,704352,84,NA,719,NA,719,NA,NA,NA,NA,NA,NA,NA,public,Four-year (small),NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shoreline Community College,Shoreline,WA,4741,55333,12,NA,712,NA,712,NA,NA,NA,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota School of Mines and Technology,Rapid City,SD,1336,74048,55,NA,178,NA,178,NA,NA,NA,NA,NA,NA,NA,public,Four-year (small),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southeast Missouri State University,Cape Girardeau,MO,NA,NA,NA,NA,602,NA,602,NA,NA,NA,NA,NA,NA,NA,public,Four-year (median),NA,Master's Colleges & Universities,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern Utah University,Cedar City,UT,NA,NA,NA,NA,548,NA,548,NA,NA,NA,NA,NA,NA,NA,public,Four-year (median),NA,Master's Colleges & Universities,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Pennsylvania State University,University Park,PA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89816,NA,NA
Troy University,Troy,AL,NA,NA,NA,NA,617,NA,617,NA,NA,NA,NA,NA,NA,NA,public,Four-year (large),NA,Master's Colleges & Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Central Missouri,Warrensburg,MO,NA,NA,NA,NA,1341,NA,1341,NA,NA,NA,NA,NA,NA,NA,public,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Central Oklahoma,Edmond,OK,1077,91191,85,NA,635,NA,635,NA,NA,NA,NA,NA,NA,NA,public,Four-year (large),NA,Master's Colleges & Universities,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Nebraska Omaha,Omaha,NE,3517,446970,127,0.05,292,NA,292,NA,NA,NA,NA,NA,NA,NA,public,Four-year (median),National,Special Focus Four-Year,Exclusive/Majority graduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of North Alabama,Florence,AL,NA,NA,NA,NA,697,NA,697,NA,NA,NA,NA,NA,NA,NA,public,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of North Dakota,Grand Forks,ND,2881,57339,20,0.05,NA,NA,NA,15067,NA,NA,NA,NA,NA,258,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9796,NA,NA,NA
University of North Texas Health Science Center,Fort Worth,TX,2513,854113,340,NA,127,NA,127,NA,NA,NA,NA,NA,NA,NA,public,NA,NA,Special Focus Four-Year,Exclusive/Majority graduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Science and Arts of Oklahoma,Chickasha,OK,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Toledo,Toledo,OH,3452,278508,81,0.06,NA,NA,NA,20818,NA,NA,NA,NA,NA,380,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14406,NA,NA,NA
Valencia College,Orlando,FL,2707,277173,102,NA,1345,NA,1345,NA,NA,NA,NA,NA,NA,NA,public,Four-year (large),NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45949,NA,NA
Wichita State University,Wichita,KS,2448,389902,159,0.05,NA,NA,NA,18166,NA,NA,NA,NA,NA,386,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12406,NA,NA,NA
University of Denver,Denver,CO,4530,693060,153,NA,599,599,NA,54819,very competitive plus,NA,NA,NA,NA,97,private,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,M,1000,10,Very High,NA,NA,NA,NA,NA,NA,5699,NA,NA,NA
Boston College,Newton,MA,4991,89045,18,NA,1471,1471,NA,61706,most competitive,301-400,301,401-500,96-117,36,private,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1048,13,Very High,0,13.5,16.8,23.5,17.8,0,9445,NA,NA,24.1
The New School,New York,NY,28211,8537673,303,0.3,3599,3599,NA,52979,highly competitive plus,NA,NA,501-600,NA,138,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,1087,9,Very High,NA,NA,NA,NA,NA,NA,6430,NA,NA,NA
American University,Washington,DC,11158,681170,61,0.1,1305,1305,NA,51334,highly competitive plus,NA,NA,601-800,NA,79,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,M,1091,11,Medium High,NA,NA,NA,NA,NA,NA,7953,NA,NA,NA
Howard University,Washington D.C.,DC,NA,NA,NA,NA,531,531,NA,28916,NA,NA,NA,601-800,NA,86,private,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,M,1111,8,Medium High,NA,NA,NA,NA,NA,NA,7857,NA,NA,NA
Fordham University,New York,NY,28211,8537673,303,0.07,1982,1982,NA,55776,highly competitive,NA,NA,801-1000,NA,68,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,1123,13,Medium High,NA,NA,NA,NA,NA,NA,9399,NA,NA,NA
Loyola University Chicago,Chicago,IL,11883,2704958,228,NA,726,726,NA,47498,highly competitive,NA,NA,801-1000,NA,106,private,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1297,12,Medium High,NA,NA,NA,NA,NA,NA,11612,NA,NA,NA
Syracuse University,Syracuse,NY,5726,143378,25,0.13,5443,3571,5443,57591,highly competitive,NA,NA,601-800,NA,59,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,1374,14,Very High,NA,NA,NA,NA,NA,NA,14479,NA,NA,NA
Northeastern University,Boston,MA,13943,673184,48,0.15,7595,7595,NA,57592,highly competitive,NA,NA,301-400,NA,50,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,1723,12,Very High,NA,NA,NA,NA,NA,NA,15156,NA,NA,31.9
Drexel University,Philadelphia,PA,11692,1567872,134,0.09,2526,2526,NA,57136,NA,301-400,301,601-800,96-117,105,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,1837,11,Very High,0,19.2,9.7,31.4,21.8,0,14552,NA,NA,NA
George Washington University,Washington,DC,11158,681170,61,0.09,4024,4024,NA,59870,most competitive,NA,NA,301-400,NA,63,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,2016,11,Very High,NA,NA,NA,NA,NA,NA,11762,NA,NA,31.1
Wake Forest University,Winston-Salem,NC,1829,242203,132,0.09,805,805,NA,59770,most competitive,NA,NA,401-500,NA,33,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,2276,4,Very High,NA,NA,NA,NA,NA,NA,5441,NA,NA,26.9
Clark University,Worcester,MA,4937,184508,37,0.08,853,853,NA,50302,highly competitive,NA,NA,601-800,NA,103,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,S,276,12,Very High,NA,NA,NA,NA,NA,NA,2241,NA,NA,NA
Clarkson University,Potsdam,NY,NA,NA,NA,NA,384,384,NA,54370,NA,NA,NA,NA,NA,127,private,Four-year (median),NA,Doctoral Universities,Majority undergraduate,town or rural,S,291,14,Very High,NA,NA,NA,NA,NA,NA,2905,NA,NA,NA
Stevens Institute of Technology,Hoboken,NJ,42484,54379,1,NA,1919,1919,NA,56920,highly competitive,NA,NA,601-800,NA,89,private,Four-year (median),NA,Doctoral Universities,Majority undergraduate,suburb,M,315,20,Very High,NA,NA,NA,NA,NA,NA,3670,NA,NA,NA
University of Tulsa,Tulsa,OK,2049,403090,197,0.07,550,550,NA,44838,highly competitive,NA,NA,801-1000,NA,147,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,S,376,11,Very High,NA,NA,NA,NA,NA,NA,2929,NA,NA,NA
Smith College,Northampton,MA,NA,NA,NA,0.14,368,368,350,NA,highly competitive plus,NA,NA,601-800,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,suburb,S,378,8,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois Institute of Technology,Chicago,IL,11883,2704958,228,0.15,2330,2330,NA,50640,highly competitive plus,NA,NA,401-500,NA,123,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,402,15,Very High,NA,NA,NA,NA,NA,NA,3123,NA,NA,26.2
Worcester Polytechnic Institute,Worcester,MA,4937,184508,37,0.06,837,837,NA,55531,highly competitive plus,NA,NA,NA,NA,67,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,432,14,Very High,NA,NA,NA,NA,NA,NA,4892,NA,NA,NA
Yeshiva University,New York,NY,28211,8537673,303,0.09,467,467,NA,47500,NA,301-400,301,201-300,96-117,74,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,S,471,10,Very High,0,0,23.6,32.2,22.6,0,2017,NA,NA,38.4
University of Hartford,West Hartford,CT,NA,NA,NA,0.06,412,412,NA,44885,NA,NA,NA,801-1000,NA,222,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,517,11,Medium High,NA,NA,NA,NA,NA,NA,4521,NA,NA,NA
Lehigh University,Bethlehem,PA,3942,75293,19,0.08,1152,1152,NA,57470,most competitive,NA,NA,NA,NA,49,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,540,11,Very High,NA,NA,NA,NA,NA,NA,5203,NA,NA,NA
University of the Pacific,Stockton,CA,4979,307072,62,0.08,389,389,NA,52352,very competitive plus,NA,NA,1001-1200,NA,146,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,560,10,Medium High,NA,NA,NA,NA,NA,NA,3524,NA,NA,NA
Seattle University,Seattle,WA,8391,704352,84,0.09,702,702,NA,49335,NA,NA,NA,801-1000,NA,131,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,601,11,Medium High,NA,NA,NA,NA,NA,NA,4299,NA,NA,NA
Brandeis University,Waltham,MA,4949,63002,13,0.2,1554,1554,NA,60391,most competitive,201-300,201,401-500,70-95,43,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,611,9,Very High,12,9.6,16.4,18.7,27.8,19,3493,NA,NA,25.7
Rensselaer Polytechnic Institute,Troy,NY,NA,NA,NA,0.15,1594,1594,NA,58526,most competitive,NA,NA,401-500,NA,56,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,639,12,Very High,NA,NA,NA,NA,NA,NA,6283,NA,NA,26.8
University of San Diego,San Diego,CA,4326,1406630,325,0.06,638,638,NA,52864,highly competitive,NA,NA,1001-1200,NA,98,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,647,12,Medium High,NA,NA,NA,NA,NA,NA,5529,NA,NA,NA
University of San Francisco,San Francisco,CA,18581,870887,47,0.11,1419,1419,NA,53472,NA,NA,NA,1001-1200,NA,114,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,696,14,Medium High,NA,NA,NA,NA,NA,NA,5852,NA,NA,NA
Dartmouth College,Hanover,NH,NA,NA,NA,0.12,997,997,NA,60870,most competitive,201-300,201,151-200,70-95,13,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,town or rural,M,836,8,Very High,0,16.6,13.4,26.7,22.2,17.6,4170,NA,NA,45.1
Marquette University,Milwaukee,WI,6191,595047,96,NA,367,367,NA,45766,highly competitive,NA,NA,1001-1200,NA,87,private,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,M,913,12,Very High,NA,NA,NA,NA,NA,NA,8024,NA,NA,NA
California Institute of Technology,Pasadena,CA,6185,142059,23,0.08,692,692,NA,58680,most competitive,1-20,9,1-20,7,9,private,Four-year (small),National,Doctoral Universities,Exclusive/Majority graduate,city,S,968,2,Very High,67.5,34.5,57.6,45,100,53.5,901,NA,57.4,97.4
Southern Methodist University,Dallas,TX,3870,1317929,341,NA,1213,1213,NA,NA,highly competitive,NA,NA,801-1000,NA,NA,private,Four-year (large),NA,Doctoral Universities,Majority undergraduate,suburb,M,969,10,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rice University,Houston,TX,3842,2303482,600,0.12,2278,2278,NA,52895,most competitive,51-100,70,51-100,34,18,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,996,7,Very High,21.4,35.8,19.7,32.4,38.6,16.1,4076,NA,27.9,62.3
Princeton University,Princeton,NJ,NA,NA,NA,0.12,1912,1912,NA,56010,most competitive,1-20,6,1-20,5,1,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,1050,8,Very High,97.9,44.9,47.1,44.2,73.3,55.8,4773,NA,61,88.6
